Date;Filière;Valeur (Mt);Nature
2014-01;"Gaz";0,78228237414206;Données Consolidées
2014-02;"Gaz";0,69166273612446;Données Consolidées
2014-03;"Gaz";0,6743869568654;Données Consolidées
2014-04;"Gaz";0,1980908364976;Données Consolidées
2014-05;"Gaz";0,19151479014536;Données Consolidées
2014-06;"Gaz";0,16957741732029;Données Consolidées
2014-07;"Gaz";0,16319355688745;Données Consolidées
2014-08;"Gaz";0,16946642973432;Données Consolidées
2014-09;"Gaz";0,20017648073224;Données Consolidées
2014-10;"Gaz";0,36362903868108;Données Consolidées
2014-11;"Gaz";0,88632450223756;Données Consolidées
2014-12;"Gaz";1,0855877359531;Données Consolidées
2015-01;"Gaz";1,2088400060017;Données Consolidées
2015-02;"Gaz";1,3155207484826;Données Consolidées
2015-03;"Gaz";1,0539257211162;Données Consolidées
2015-04;"Gaz";0,35713678408813;Données Consolidées
2015-05;"Gaz";0,18609572827727;Données Consolidées
2015-06;"Gaz";0,17642512510112;Données Consolidées
2015-07;"Gaz";0,32125266887008;Données Consolidées
2015-08;"Gaz";0,16515365093531;Données Consolidées
2015-09;"Gaz";0,40633956659941;Données Consolidées
2015-10;"Gaz";0,88723013481588;Données Consolidées
2015-11;"Gaz";1,3440338930748;Données Consolidées
2015-12;"Gaz";1,1995249356761;Données Consolidées
2016-01;"Gaz";1,4680808436956;Données Consolidées
2016-02;"Gaz";1,1962691908441;Données Consolidées
2016-03;"Gaz";1,3181326894585;Données Consolidées
2016-04;"Gaz";0,67100367489716;Données Consolidées
2016-05;"Gaz";0,40367629375945;Données Consolidées
2016-06;"Gaz";0,44138859112319;Données Consolidées
2016-07;"Gaz";0,57870882626329;Données Consolidées
2016-08;"Gaz";0,6315284294367;Données Consolidées
2016-09;"Gaz";1,1353642395783;Données Consolidées
2016-10;"Gaz";1,4169928157129;Données Consolidées
2016-11;"Gaz";1,9761987269404;Données Consolidées
2016-12;"Gaz";2,244782257522;Données Consolidées
2017-01;"Gaz";2,2012358750386;Données Consolidées
2017-02;"Gaz";1,8033134556846;Données Consolidées
2017-03;"Gaz";1,6482163709498;Données Consolidées
2017-04;"Gaz";0,87976314851716;Données Consolidées
2017-05;"Gaz";0,58293504461479;Données Consolidées
2017-06;"Gaz";0,5096998270217;Données Consolidées
2017-07;"Gaz";0,74058495337799;Données Consolidées
2017-08;"Gaz";0,54185903047704;Données Consolidées
2017-09;"Gaz";0,74850910917256;Données Consolidées
2017-10;"Gaz";1,3453574360347;Données Consolidées
2017-11;"Gaz";1,9733303575604;Données Consolidées
2017-12;"Gaz";1,8620314568289;Données Consolidées
2018-01;"Gaz";1,2184016440619;Données Consolidées
2018-02;"Gaz";1,7987697694578;Données Consolidées
2018-03;"Gaz";1,4846660527802;Données Consolidées
2018-04;"Gaz";0,30764436396091;Données Consolidées
2018-05;"Gaz";0,22918169832866;Données Consolidées
2018-06;"Gaz";0,26033419255511;Données Consolidées
2018-07;"Gaz";0,65185188588289;Données Consolidées
2018-08;"Gaz";0,62896840359662;Données Consolidées
2018-09;"Gaz";0,56763040228238;Données Consolidées
2018-10;"Gaz";0,9566309986668;Données Consolidées
2018-11;"Gaz";1,8328258818915;Données Consolidées
2018-12;"Gaz";1,5637573224692;Données Consolidées
2019-01;"Gaz";2,1421713177877;Données Consolidées
2019-02;"Gaz";1,6816088347448;Données Consolidées
2019-03;"Gaz";1,240007213694;Données Consolidées
2019-04;"Gaz";0,70995942837653;Données Consolidées
