Date;Filière;Valeur (Mt);Nature
2017-01; Émissions liées aux importations*;0,619114935;Émissions sur le cycle de vie
2017-02; Émissions liées aux importations*;0,011287274;Émissions sur le cycle de vie
2017-03; Émissions liées aux importations*;0,000390315;Émissions sur le cycle de vie
2017-04; Émissions liées aux importations*;0,000997093;Émissions sur le cycle de vie
2017-05; Émissions liées aux importations*;;Émissions sur le cycle de vie
2017-06; Émissions liées aux importations*;0,006254876;Émissions sur le cycle de vie
2017-07; Émissions liées aux importations*;0,000280792;Émissions sur le cycle de vie
2017-08; Émissions liées aux importations*;;Émissions sur le cycle de vie
2017-09; Émissions liées aux importations*;;Émissions sur le cycle de vie
2017-10; Émissions liées aux importations*;0,04049242;Émissions sur le cycle de vie
2017-11; Émissions liées aux importations*;0,549106441;Émissions sur le cycle de vie
2017-12; Émissions liées aux importations*;0,271481976;Émissions sur le cycle de vie
2018-01; Émissions liées aux importations*;0,000413807;Émissions sur le cycle de vie
2018-02; Émissions liées aux importations*;0,096509311;Émissions sur le cycle de vie
2018-03; Émissions liées aux importations*;0,036854861;Émissions sur le cycle de vie
2018-04; Émissions liées aux importations*;0,001744877;Émissions sur le cycle de vie
2018-05; Émissions liées aux importations*;0,001255156;Émissions sur le cycle de vie
2018-06; Émissions liées aux importations*;;Émissions sur le cycle de vie
2018-07; Émissions liées aux importations*;;Émissions sur le cycle de vie
2018-08; Émissions liées aux importations*;0,002742967;Émissions sur le cycle de vie
2018-09; Émissions liées aux importations*;0,000196606;Émissions sur le cycle de vie
2018-10; Émissions liées aux importations*;0,011511601;Émissions sur le cycle de vie
2018-11; Émissions liées aux importations*;0,161692648;Émissions sur le cycle de vie
2018-12; Émissions liées aux importations*;0,017132431;Émissions sur le cycle de vie
2019-01; Émissions liées aux importations*;0,155402918;Émissions sur le cycle de vie
2019-02; Émissions liées aux importations*;0,005295898;Émissions sur le cycle de vie
2019-03; Émissions liées aux importations*;0,000568212;Émissions sur le cycle de vie
2019-04; Émissions liées aux importations*;0,006586056;Émissions sur le cycle de vie
2019-05; Émissions liées aux importations*;;Émissions sur le cycle de vie
2019-06; Émissions liées aux importations*;0,000462043;Émissions sur le cycle de vie
2019-07; Émissions liées aux importations*;0,007183583;Émissions sur le cycle de vie
2019-08; Émissions liées aux importations*;0,000104904;Émissions sur le cycle de vie
2019-09; Émissions liées aux importations*;;Émissions sur le cycle de vie
2019-10; Émissions liées aux importations*;0,005587813;Émissions sur le cycle de vie
2019-11; Émissions liées aux importations*;0,249030474;Émissions sur le cycle de vie
2019-12; Émissions liées aux importations*;0,105353851;Émissions sur le cycle de vie
2020-01; Émissions liées aux importations*;0,016559474;Émissions sur le cycle de vie
2020-02; Émissions liées aux importations*;;Émissions sur le cycle de vie
2020-03; Émissions liées aux importations*;0,00163223;Émissions sur le cycle de vie
2020-04; Émissions liées aux importations*;0,005914177;Émissions sur le cycle de vie
2020-05; Émissions liées aux importations*;0,000911263;Émissions sur le cycle de vie
2020-06; Émissions liées aux importations*;0,017008887;Émissions sur le cycle de vie
2020-07; Émissions liées aux importations*;0,047973791;Émissions sur le cycle de vie
2020-08; Émissions liées aux importations*;0,047530354;Émissions sur le cycle de vie
2020-09; Émissions liées aux importations*;0,268631985;Émissions sur le cycle de vie
2020-10; Émissions liées aux importations*;0,028380267;Émissions sur le cycle de vie
2020-11; Émissions liées aux importations*;0,012636738;Émissions sur le cycle de vie
2020-12; Émissions liées aux importations*;0,132232205;Émissions sur le cycle de vie
2021-01; Émissions liées aux importations*;0,18391499;Émissions sur le cycle de vie
2021-02; Émissions liées aux importations*;0,059153991;Émissions sur le cycle de vie
2021-03; Émissions liées aux importations*;0,019625374;Émissions sur le cycle de vie
2021-04; Émissions liées aux importations*;0,117810181;Émissions sur le cycle de vie
2021-05; Émissions liées aux importations*;0,01532208;Émissions sur le cycle de vie
2021-06; Émissions liées aux importations*;;Émissions sur le cycle de vie
2021-07; Émissions liées aux importations*;;Émissions sur le cycle de vie
2021-08; Émissions liées aux importations*;;Émissions sur le cycle de vie
2021-09; Émissions liées aux importations*;;Émissions sur le cycle de vie
2021-10; Émissions liées aux importations*;0,002505531;Émissions sur le cycle de vie
2021-11; Émissions liées aux importations*;0,358204325;Émissions sur le cycle de vie
2021-12; Émissions liées aux importations*;0,600796039;Émissions sur le cycle de vie
2022-01; Émissions liées aux importations*;0,404154586;Émissions sur le cycle de vie
2022-02; Émissions liées aux importations*;0,043176622;Émissions sur le cycle de vie
